Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,24,5,5,77,90,26,64,1
Feyenoord,34,22,7,5,73,67,34,33,2
FC Twente,34,20,5,9,65,60,33,27,3
Ajax,34,17,10,7,61,55,31,24,4
Vitesse,34,15,10,9,55,53,41,12,5
Roda JC Kerkrade,34,16,7,11,55,56,47,9,6
sc Heerenveen,34,13,11,10,50,58,47,11,7
De Graafschap,34,13,6,15,45,52,55,-3,8
NAC Breda,34,10,10,14,40,41,54,-13,9
FC Groningen,34,9,12,13,39,43,56,-13,10
Fortuna Sittard,34,9,12,13,39,36,52,-16,11
FC Utrecht,34,8,14,12,38,42,52,-10,12
Sparta Rotterdam,34,11,5,18,38,40,56,-16,13
FC Volendam,34,9,11,14,38,36,55,-19,14
Willem II,34,9,8,17,35,34,51,-17,15
RKC Waalwijk,34,9,7,18,34,39,61,-22,16
N.E.C.,34,7,11,16,32,35,61,-26,17
AZ,34,6,7,21,25,27,52,-25,18
