Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,23,6,5,75,75,25,50
Ajax,34,23,6,5,75,84,35,49
AZ,34,21,9,4,72,83,31,52
FC Twente,34,19,9,6,66,67,37,30
sc Heerenveen,34,16,7,11,55,60,43,17
Roda JC Kerkrade,34,15,9,10,54,47,36,11
Feyenoord,34,15,8,11,53,56,66,-10
FC Groningen,34,15,6,13,51,54,54,0
FC Utrecht,34,13,9,12,48,41,44,-3
N.E.C.,34,12,8,14,44,36,44,-8
NAC Breda,34,12,7,15,43,43,54,-11
Vitesse,34,10,8,16,38,50,55,-5
Sparta Rotterdam,34,10,7,17,37,40,66,-26
Heracles Almelo,34,7,11,16,32,32,64,-32
Willem II,34,8,7,19,31,31,64,-33
Excelsior Rotterdam,34,8,6,20,30,43,65,-22
RKC Waalwijk,34,6,9,19,27,33,60,-27
ADO Den Haag,34,3,8,23,17,40,72,-32
