Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,27,5,2,59,99,21,78,1
Ajax,34,25,3,6,53,92,30,62,2
Feyenoord,34,15,12,7,42,73,43,30,3
Roda JC Kerkrade,34,15,9,10,39,51,45,6,4
VVV-Venlo,34,10,17,7,37,46,45,1,5
FC Utrecht,34,15,6,13,36,62,56,6,6
FC Twente,34,12,12,10,36,39,44,-5,7
Sparta Rotterdam,34,11,12,11,34,52,48,4,8
Fortuna Sittard,34,10,12,12,32,47,49,-2,9
FC Den Bosch,34,10,12,12,32,43,52,-9,10
PEC Zwolle,34,10,11,13,31,61,57,4,11
HFC Haarlem,34,11,9,14,31,32,57,-25,12
FC Groningen,34,9,12,13,30,43,43,0,13
ADO Den Haag,34,8,12,14,28,46,64,-18,14
AZ,34,7,13,14,27,31,57,-26,15
Go Ahead Eagles,34,5,13,16,23,23,48,-25,16
SC Veendam,34,4,15,15,23,37,67,-30,17
Excelsior Rotterdam,34,5,9,20,19,40,91,-51,18
