Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
AZ,34,25,5,4,80,66,22,44
FC Twente,34,20,9,5,69,62,31,31
Ajax,34,21,5,8,68,74,41,33
PSV,34,19,8,7,65,71,33,38
sc Heerenveen,34,17,9,8,60,66,57,9
FC Groningen,34,17,5,12,56,53,36,17
Feyenoord,34,12,9,13,45,54,46,8
NAC Breda,34,13,6,15,45,44,54,-10
FC Utrecht,34,11,11,12,44,41,44,-3
Vitesse,34,11,10,13,43,41,48,-7
N.E.C.,34,9,15,10,42,41,40,1
Willem II,34,10,7,17,37,35,58,-23
Sparta Rotterdam,34,9,8,17,35,46,66,-20
ADO Den Haag,34,8,8,18,32,41,58,-17
Heracles Almelo,34,7,11,16,32,35,53,-18
Roda JC Kerkrade,34,7,9,18,30,38,58,-20
De Graafschap,34,7,9,18,30,24,58,-34
FC Volendam,34,7,8,19,29,38,67,-29
