Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,29,1,4,88,92,31,61,1
Ajax,34,21,8,5,71,69,29,40,2
AZ,34,19,5,10,62,63,56,7,3
Feyenoord,34,17,8,9,59,56,39,17,4
Vitesse,34,16,10,8,58,66,43,23,5
PEC Zwolle,34,16,5,13,53,59,43,16,6
sc Heerenveen,34,13,11,10,50,53,46,7,7
FC Twente,34,13,10,11,49,56,51,5,8
Willem II,34,13,7,14,46,46,50,-4,9
FC Groningen,34,11,13,10,46,49,53,-4,10
FC Utrecht,34,11,8,15,41,60,62,-2,11
SC Cambuur,34,11,8,15,41,46,56,-10,12
ADO Den Haag,34,9,10,15,37,44,53,-9,13
Heracles Almelo,34,11,4,19,37,47,64,-17,14
Excelsior Rotterdam,34,6,14,14,32,47,63,-16,15
NAC Breda,34,6,10,18,28,36,68,-32,16
Go Ahead Eagles,34,7,6,21,27,29,59,-30,17
FC Dordrecht,34,4,8,22,20,24,76,-52,18
