Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Feyenoord,34,22,9,3,75,82,32,50,1
PSV,34,22,7,5,73,81,34,47,2
Ajax,34,20,9,5,69,87,30,57,3
Vitesse,34,16,14,4,62,58,29,29,4
FC Twente,34,17,8,9,59,64,39,25,5
MVV Maastricht,34,15,7,12,52,49,47,2,6
FC Volendam,34,12,13,9,49,51,34,17,7
FC Utrecht,34,12,11,11,47,44,40,4,8
RKC Waalwijk,34,12,9,13,45,49,57,-8,9
Willem II,34,12,8,14,44,41,38,3,10
Roda JC Kerkrade,34,11,7,16,40,51,59,-8,11
FC Groningen,34,9,11,14,38,31,49,-18,12
Sparta Rotterdam,34,8,11,15,35,36,65,-29,13
Go Ahead Eagles,34,8,9,17,33,36,64,-28,14
SC Cambuur,34,6,13,15,31,39,58,-19,15
Fortuna Sittard,34,7,7,20,28,34,76,-42,16
FC Den Bosch,34,6,9,19,27,35,79,-44,17
FC Dordrecht,34,5,10,19,25,30,68,-38,18
