Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,22,10,2,76,83,31,52,1
PSV,34,22,3,9,69,103,43,60,2
Feyenoord,34,21,6,7,69,64,38,26,3
Vitesse,34,19,7,8,64,68,42,26,4
FC Utrecht,34,19,6,9,63,55,41,14,5
FC Twente,34,17,11,6,62,60,33,27,6
FC Groningen,34,12,7,15,43,36,53,-17,7
sc Heerenveen,34,11,9,14,42,50,63,-13,8
ADO Den Haag,34,9,13,12,40,49,63,-14,9
AZ,34,10,9,15,39,56,54,2,10
PEC Zwolle,34,10,9,15,39,42,55,-13,11
Heracles Almelo,34,9,11,14,38,58,71,-13,12
NAC Breda,34,10,8,16,38,40,56,-16,13
RKC Waalwijk,34,9,10,15,37,39,48,-9,14
N.E.C.,34,10,7,17,37,44,66,-22,15
Roda JC Kerkrade,34,7,12,15,33,51,69,-18,16
VVV-Venlo,34,6,10,18,28,33,62,-29,17
Willem II,34,5,8,21,23,33,76,-43,18
