Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,26,4,4,82,122,34,88,1
Feyenoord,34,21,9,4,72,81,33,48,2
Sparta Rotterdam,34,20,8,6,68,50,25,25,3
ADO Den Haag,34,18,10,6,64,70,40,30,4
Go Ahead Eagles,34,17,6,11,57,57,37,20,5
PSV,34,13,11,10,50,64,59,5,6
Sittardia,34,13,9,12,48,34,40,-6,7
AFC DWS,34,13,8,13,47,56,51,5,8
GVAV,34,13,8,13,47,48,44,4,9
Xerxes/DHC,34,13,8,13,47,47,48,-1,10
NAC Breda,34,10,9,15,39,44,50,-6,11
MVV Maastricht,34,9,12,13,39,43,59,-16,12
FC Twente,34,9,11,14,38,47,62,-15,13
DOS,34,10,5,19,35,50,83,-33,14
Fortuna '54,34,8,9,17,33,44,66,-22,15
Telstar,34,8,8,18,32,44,68,-24,16
USV Elinkwijk,34,7,8,19,29,35,84,-49,17
Willem II,34,2,9,23,15,27,80,-53,18
