Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
Feyenoord,34,25,5,4,80,76,38,38
Willem II,34,20,5,9,65,69,46,23
PSV,34,17,10,7,61,87,55,32
Vitesse,34,18,7,9,61,61,44,17
Roda JC Kerkrade,34,17,9,8,60,59,40,19
Ajax,34,16,9,9,57,73,41,32
sc Heerenveen,34,14,12,8,54,53,41,12
FC Twente,34,13,13,8,52,51,45,6
AZ,34,12,12,10,48,52,60,-8
Fortuna Sittard,34,12,8,14,44,49,56,-7
N.E.C.,34,10,9,15,39,42,56,-14
FC Utrecht,34,10,8,16,38,54,64,-10
De Graafschap,34,8,12,14,36,40,57,-17
MVV Maastricht,34,7,11,16,32,42,63,-21
SC Cambuur,34,7,11,16,32,37,64,-27
RKC Waalwijk,34,6,9,19,27,41,62,-21
Sparta Rotterdam,34,7,5,22,26,37,71,-34
NAC Breda,34,4,11,19,23,41,61,-20
