Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
PSV,34,21,9,4,72,65,24,41,1
Ajax,34,20,9,5,69,94,45,49,2
NAC Breda,34,19,6,9,63,48,40,8,3
FC Twente,34,17,11,6,62,52,32,20,4
sc Heerenveen,34,18,6,10,60,88,48,40,5
Feyenoord,34,18,6,10,60,64,41,23,6
FC Groningen,34,15,6,13,51,53,54,-1,7
N.E.C.,34,14,7,13,49,49,50,-1,8
Roda JC Kerkrade,34,12,11,11,47,55,55,0,9
FC Utrecht,34,13,7,14,46,59,55,4,10
AZ,34,11,10,13,43,48,53,-5,11
Vitesse,34,12,7,15,43,46,55,-9,12
Sparta Rotterdam,34,9,7,18,34,52,76,-24,13
Heracles Almelo,34,8,8,18,32,34,64,-30,14
Willem II,34,8,7,19,31,40,49,-9,15
De Graafschap,34,7,9,18,30,33,64,-31,16
VVV-Venlo,34,7,8,19,29,44,76,-32,17
Excelsior Rotterdam,34,7,6,21,27,32,75,-43,18
