Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,23,6,5,75,62,26,36,1
PSV,34,20,7,7,67,64,31,33,2
AZ,34,19,8,7,65,75,29,46,3
Feyenoord,34,16,12,6,60,65,35,30,4
Roda JC Kerkrade,34,17,8,9,59,53,35,18,5
FC Utrecht,34,16,6,12,54,59,66,-7,6
Sparta Rotterdam,34,12,12,10,48,52,47,5,7
FC Twente,34,12,9,13,45,52,40,12,8
NAC Breda,34,11,12,11,45,41,53,-12,9
ADO Den Haag,34,10,12,12,42,50,42,8,10
Go Ahead Eagles,34,10,11,13,41,43,63,-20,11
HFC Haarlem,34,11,7,16,40,35,47,-12,12
VVV-Venlo,34,8,11,15,35,37,60,-23,13
Telstar,34,7,12,15,33,35,57,-22,14
FC Amsterdam,34,7,11,16,32,41,58,-17,15
N.E.C.,34,6,12,16,30,41,54,-13,16
FC Eindhoven,34,6,12,16,30,28,63,-35,17
De Graafschap,34,6,10,18,28,29,56,-27,18
