Club,Gs,W,G,V,Pnt,Dv,Dt,Ds,Pos
Ajax,34,23,7,4,76,93,36,57,1
Feyenoord,34,21,7,6,70,70,37,33,2
PSV,34,21,6,7,69,87,47,40,3
AZ,34,19,8,7,65,64,35,29,4
sc Heerenveen,34,18,10,6,64,79,59,20,5
FC Twente,34,17,9,8,60,82,46,36,6
Vitesse,34,15,8,11,53,48,43,5,7
N.E.C.,34,13,6,15,45,42,45,-3,8
RKC Waalwijk,34,13,6,15,45,40,49,-9,9
Roda JC Kerkrade,34,14,2,18,44,55,70,-15,10
FC Utrecht,34,11,10,13,43,55,58,-3,11
Heracles Almelo,34,11,7,16,40,52,62,-10,12
NAC Breda,34,10,8,16,38,45,54,-9,13
FC Groningen,34,10,7,17,37,41,61,-20,14
ADO Den Haag,34,8,8,18,32,38,67,-29,15
VVV-Venlo,34,9,4,21,31,42,78,-36,16
De Graafschap,34,6,6,22,24,36,74,-38,17
Excelsior Rotterdam,34,4,7,23,19,28,76,-48,18
