Club,Gs,W,G,V,Pnt,Dv,Dt,Ds
PSV,34,29,4,1,91,111,21,90
Feyenoord,34,26,6,2,84,92,26,66
FC Twente,34,21,6,7,69,69,36,33
AZ,34,19,8,7,65,70,39,31
Ajax,34,15,11,8,56,74,61,13
N.E.C.,34,14,11,9,53,68,51,17
FC Utrecht,34,13,11,10,50,49,47,2
Sparta Rotterdam,34,14,7,13,49,51,48,3
Go Ahead Eagles,34,12,10,12,46,47,46,1
Fortuna Sittard,34,9,11,14,38,37,56,-19
sc Heerenveen,34,10,7,17,37,53,70,-17
PEC Zwolle,34,9,9,16,36,45,67,-22
Almere City FC,34,7,13,14,34,33,59,-26
Heracles Almelo,34,9,6,19,33,41,74,-33
RKC Waalwijk,34,7,8,19,29,38,56,-18
Excelsior Rotterdam,34,6,11,17,29,50,73,-23
Vitesse,34,6,6,22,24,30,74,-44
FC Volendam,34,4,7,23,19,34,88,-54
